StepNumber,NumberOfCells
1,1
2,1
3,1
4,1
5,1
6,1
7,2
8,3
9,2
10,2
11,2
12,3
13,3
14,4
15,4
16,4
17,4
18,4
19,5
20,6
21,6
22,6
23,8
24,8
25,9
26,9
27,14
28,11
29,12
30,16
31,15
