StepNumber,NumberOfCells
1,14
2,14
3,14
4,14
5,14
6,14
7,14
8,14
9,14
10,14
11,14
12,14
13,15
14,13
15,13
16,13
17,14
18,13
19,14
20,12
21,12
22,12
23,12
24,12
25,12
26,13
27,11
28,11
29,11
30,11
31,12
32,12
33,12
34,13
35,12
36,12
37,12
38,13
39,12
40,13
41,13
42,13
43,13
44,13
45,13
46,13
47,13
48,13
49,13
50,13
51,13
52,14
53,14
54,12
55,12
56,13
57,13
58,14
59,12
60,13
61,11
62,12
63,11
64,11
65,11
66,11
67,11
68,11
69,11
70,12
71,12
72,12
73,12
74,12
75,12
76,12
77,12
78,12
79,12
80,12
81,12
82,12
83,12
84,12
85,12
86,13
87,13
88,13
89,13
90,14
91,14
92,14
93,15
94,15
95,17
96,17
97,17
98,17
99,18
100,17
101,17
102,17
103,17
104,17
105,17
106,18
107,18
108,18
109,18
110,17
111,17
112,18
113,17
114,17
115,17
116,17
117,17
118,17
119,17
120,17
121,17
122,16
123,16
124,16
125,17
126,17
127,18
128,19
129,19
130,19
131,19
132,20
133,22
134,22
135,24
136,24
137,25
138,26
139,24
140,24
141,25
142,25
143,26
144,26
145,27
146,27
147,27
148,27
149,28
150,28
151,29
152,29
153,29
154,29
155,29
156,29
157,29
158,29
159,30
160,30
161,30
162,32
163,32
164,32
165,35
166,34
167,34
168,34
169,36
170,36
171,37
172,38
173,38
174,40
175,39
176,39
