Channel_kt2440,Count_FilteredNuclei,Count_IdentifySecondaryObjects,Count_Watershed,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05CorrectIlluminationCalculate,ExecutionTime_06CorrectIlluminationApply,ExecutionTime_07Watershed,ExecutionTime_08IdentifySecondaryObjects,ExecutionTime_09TrackObjects,ExecutionTime_10MeasureObjectSizeShape,ExecutionTime_11SaveImages,FileName_kt2440,Frame_kt2440,Group_Index,Group_Number,Height_kt2440,ImageNumber,ImageSet_ImageSet,MD5Digest_kt2440,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05CorrectIlluminationCalculate,ModuleError_06CorrectIlluminationApply,ModuleError_07Watershed,ModuleError_08IdentifySecondaryObjects,ModuleError_09TrackObjects,ModuleError_10MeasureObjectSizeShape,ModuleError_11SaveImages,PathName_kt2440,ProcessingStatus,Scaling_kt2440,Series_kt2440,Threshold_FinalThreshold_IdentifySecondaryObjects,Threshold_OrigThreshold_IdentifySecondaryObjects,Threshold_SumOfEntropies_IdentifySecondaryObjects,Threshold_WeightedVariance_IdentifySecondaryObjects,TrackObjects_LostObjectCount_IdentifySecondaryObjects_50,TrackObjects_MergedObjectCount_IdentifySecondaryObjects_50,TrackObjects_NewObjectCount_IdentifySecondaryObjects_50,TrackObjects_SplitObjectCount_IdentifySecondaryObjects_50,URL_kt2440,Width_kt2440
-1,2.0,2.0,4.0,0.0,0.0,1.828125,0.0,0.078125,0.0,0.125,0.234375,0.265625,0.078125,0.03125,Pseudomonas_chamber_T001_Object Predictions.tif,0,1,1,412,1,b'eLshfXpPG02wQy/BGhgYxsM1BBSlpkDis1ivJDMNXBzBwgIYyiA/goorZ5RyC8QABwa48AKHM5ABjiUgDYw7OwAeWqzU',b41c04eb44d35bcd50fdbb5281e57eb2,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T001_Object%20Predictions.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_chamber\2. Ilastik Output\3. Object Classification,Done,255,0,2.981642666100015e-08,2.9816427e-08,-13.582904969827322,0.00048002621022656894,0,0,2,0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T001_Object%20Predictions.tif,375
-1,5.0,5.0,8.0,0.0,0.0,0.859375,0.0,0.0625,0.0,0.4375,0.4375,0.1875,0.109375,0.03125,Pseudomonas_chamber_T002_Object Predictions.tif,0,2,1,412,2,b'eLshfXpPG02wQy/BGhgYxcM1BBSlpkDis1ivJDMNXBzBwgIYyiA/goorZ5RyC8QABwa48AKHM5ABjiUgDYw7OwAevKzV',df748b9ed991d85f7d8f3a5f0060267d,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T002_Object%20Predictions.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_chamber\2. Ilastik Output\3. Object Classification,Done,255,0,3.0699478514861767e-08,3.069948e-08,-13.595535882920458,0.0005579951459000906,0,0,3,0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T002_Object%20Predictions.tif,375
-1,4.0,4.0,8.0,0.0,0.0,0.421875,0.0,0.046875,0.0,0.375,0.4375,0.1875,0.09375,0.015625,Pseudomonas_chamber_T003_Object Predictions.tif,0,3,1,412,3,b'eLshfXpPG02wQy/BGhgYx8M1BBSlpkDis1ivJDMNXBzBwgIYyiA/goorZ5RyC8QABwa48AKHM5ABjiUgDYw7OwAfHqzW',032de357b9d938bd28d11254550bd972,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T003_Object%20Predictions.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_chamber\2. Ilastik Output\3. Object Classification,Done,255,0,2.981642666100015e-08,2.9816427e-08,-13.605609376505917,0.0005649640283581814,2,0,0,1,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T003_Object%20Predictions.tif,375
-1,5.0,5.0,9.0,0.0,0.0,0.421875,0.0,0.09375,0.0,0.3125,0.390625,0.1875,0.09375,0.015625,Pseudomonas_chamber_T004_Object Predictions.tif,0,4,1,412,4,b'eLshfXpPG02wQy/BGhiYxMM1BBSlpkDis1ivJDMNXBzBwgIYyiA/goorZ5RyC8QABwa48AKHM5ABjiUgDYw7OwAfgKzX',88a3b4b0e45a5071435bb587d2d599f0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T004_Object%20Predictions.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_chamber\2. Ilastik Output\3. Object Classification,Done,255,0,2.7891438492133602e-08,2.7891438e-08,-13.626288042996537,0.000636093895752743,0,1,1,1,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T004_Object%20Predictions.tif,375
-1,3.0,3.0,8.0,0.0,0.0,0.375,0.0,0.0625,0.0,0.28125,0.390625,0.203125,0.09375,0.03125,Pseudomonas_chamber_T005_Object Predictions.tif,0,5,1,412,5,b'eLshfXpPG02wQy/BGhiYxsM1BBSlpkDis1ivJDMNXBzBwgIYyiA/goorZ5RyC8QABwa48AKHM5ABjiUgDYw7OwAf4qzY',9099b38e3a22390b747406fc67bc121f,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T005_Object%20Predictions.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_chamber\2. Ilastik Output\3. Object Classification,Done,255,0,3.142244864307031e-08,3.142245e-08,-13.599351360841752,0.0006946505468527008,1,1,0,0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T005_Object%20Predictions.tif,375
-1,5.0,5.0,9.0,0.0,0.0,0.359375,0.0,0.046875,0.0,0.296875,0.4375,0.203125,0.109375,0.03125,Pseudomonas_chamber_T006_Object Predictions.tif,0,6,1,412,6,b'eLshfXpPG02wQy/BGhiYxcM1BBSlpkDis1ivJDMNXBzBwgIYyiA/goorZ5RyC8QABwa48AKHM5ABjiUgDYw7OwAgRKzZ',583d2bf6846a152793101a738ddddb42,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T006_Object%20Predictions.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_chamber\2. Ilastik Output\3. Object Classification,Done,255,0,3.944895965446449e-08,3.944896e-08,-13.588967042281775,0.0007605082668716496,0,0,1,1,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T006_Object%20Predictions.tif,375
-1,6.0,6.0,11.0,0.0,0.0,0.265625,0.0,0.015625,0.0,0.140625,0.203125,0.21875,0.109375,0.03125,Pseudomonas_chamber_T007_Object Predictions.tif,0,7,1,412,7,b'eLshfXpPG02wQy/BGhiYx8M1BBSlpkDis1ivJDMNXBzBwgIYyiA/goorZ5RyC8QABwa48AKHM5ABjiUgDYw7OwAgpqza',62fc60fa4360af3576b7b406bef7a1a0,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T007_Object%20Predictions.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_chamber\2. Ilastik Output\3. Object Classification,Done,255,0,3.0903702707973935e-08,3.0903703e-08,-13.609395112605533,0.0008066592638967706,0,1,1,1,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T007_Object%20Predictions.tif,375
-1,11.0,11.0,16.0,0.0,0.0,0.265625,0.0,0.03125,0.0,0.125,0.21875,0.203125,0.125,0.015625,Pseudomonas_chamber_T008_Object Predictions.tif,0,8,1,412,8,b'eLshfXpPG02wQy/BGhhYxMM1BBSlpkDis1ivJDMNXBzBwgIYyiA/goorZ5RyC8QABwa48AKHM5ABjiUgDYw7OwAhCKzb',04b48a1a45ec591ed8e25f85e1f33bb4,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T008_Object%20Predictions.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_chamber\2. Ilastik Output\3. Object Classification,Done,255,0,3.8820200387590376e-08,3.88202e-08,-13.604676223634234,0.00092202611395932,0,0,3,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T008_Object%20Predictions.tif,375
-1,12.0,12.0,16.0,0.0,0.0,0.21875,0.0,0.015625,0.0,0.125,0.234375,0.203125,0.125,0.03125,Pseudomonas_chamber_T009_Object Predictions.tif,0,9,1,412,9,b'eLshfXpPG02wQy/BGhhYxsM1BBSlpkDis1ivJDMNXBzBwgIYyiA/goorZ5RyC8QABwa48AKHM5ABjiUgDYw7OwAhaqzc',3dfb649b1a8fd4abb71903132031de53,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T009_Object%20Predictions.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_chamber\2. Ilastik Output\3. Object Classification,Done,255,0,3.0903702707973935e-08,3.0903703e-08,-13.642905047165591,0.0009753103822367377,0,0,0,3,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T009_Object%20Predictions.tif,375
-1,10.0,10.0,15.0,0.0,0.0,0.203125,0.0,0.0625,0.0,0.140625,0.21875,0.203125,0.125,0.03125,Pseudomonas_chamber_T010_Object Predictions.tif,0,10,1,412,10,b'eLshfXpPG02wQy/BGhgaxMM1BBSlpkDis1ivJDMNXBzBwgIYyiA/goorZ5RyC8QABwa48AKHM5ABjiUgDYw7OwAeW6zU',d5f27534599790634ec25f3fa956f827,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T010_Object%20Predictions.tif,0,0,0,0,0,0,0,0,0,0,0,0,0,C:\Users\Client\Documents\GitHub\article\CellProfiler\Pseudomonas_chamber\2. Ilastik Output\3. Object Classification,Done,255,0,3.405764559261115e-08,3.4057646e-08,-13.651671947454737,0.0010930079222477547,2,1,1,1,file:///C:/Users/Client/Documents/GitHub/article/CellProfiler/Pseudomonas_chamber/2.%20Ilastik%20Output/3.%20Object%20Classification/Pseudomonas_chamber_T010_Object%20Predictions.tif,375
